title,channel,url,scripture_reference,volume,description,approximate_views
"Overview: Genesis Ch. 1-11",BibleProject,https://www.youtube.com/watch?v=GQI72THyO5I,"Genesis 1-11",OT,"Animated overview of Genesis 1-11 covering creation and humanitys repeated rebellion against God",15000000
"Overview: Genesis Ch. 12-50",BibleProject,https://www.youtube.com/watch?v=F4isSyennFo,"Genesis 12-50",OT,"Animated overview of Genesis 12-50 tracing Gods covenant promises through Abrahams family",8000000
"Overview: Exodus Ch. 1-18",BibleProject,https://www.youtube.com/watch?v=jH_aojNJM3E,"Exodus 1-18",OT,"Animated overview of Exodus 1-18 showing Gods rescue of Israel from slavery in Egypt",7000000
"Overview: Exodus Ch. 19-40",BibleProject,https://www.youtube.com/watch?v=oNpTha80yyE,"Exodus 19-40",OT,"Animated overview of Exodus 19-40 covering the covenant at Sinai and the tabernacle",5000000
"Overview: Leviticus",BibleProject,https://www.youtube.com/watch?v=IJ-FekWUZzE,"Leviticus",OT,"Animated overview of the entire book of Leviticus and its sacrificial system",5000000
"Overview: Deuteronomy",BibleProject,https://www.youtube.com/watch?v=q5QEH9bH8AU,"Deuteronomy",OT,"Animated overview of Deuteronomy as Moses final speeches before entering the promised land",4000000
"Overview: Joshua",BibleProject,https://www.youtube.com/watch?v=JqOqJlFF_eU,"Joshua",OT,"Animated overview of Joshua and Israels entry into the promised land",4000000
"Overview: Ruth",BibleProject,https://www.youtube.com/watch?v=0h1eoBeR4Jk,"Ruth",OT,"Animated overview of Ruth exploring loyalty and Gods surprising plan through a Moabite woman",5000000
"Overview: 1 Samuel",BibleProject,https://www.youtube.com/watch?v=QJOju5Dw0V0,"1 Samuel",OT,"Animated overview of 1 Samuel covering the rise of Saul and David",4000000
"Overview: Job",BibleProject,https://www.youtube.com/watch?v=xQwnH8th_fs,"Job",OT,"Animated overview of the book of Job and the question of why the righteous suffer",7000000
"Overview: Psalms",BibleProject,https://www.youtube.com/watch?v=j9phNEaPrv8,"Psalms",OT,"Animated overview of the Psalms as a carefully designed collection of poetry",5000000
"Overview: Proverbs",BibleProject,https://www.youtube.com/watch?v=AzmYV8GNAIM,"Proverbs",OT,"Animated overview of Proverbs and the biblical concept of wisdom",6000000
"Overview: Ecclesiastes",BibleProject,https://www.youtube.com/watch?v=lrsQ1tc-2wk,"Ecclesiastes",OT,"Animated overview of Ecclesiastes exploring lifes meaning and the limits of human wisdom",4000000
"Overview: Isaiah Ch. 1-39",BibleProject,https://www.youtube.com/watch?v=d0A6Uchb1F8,"Isaiah 1-39",OT,"Animated overview of Isaiah 1-39 covering warnings of judgment and promises of hope",5000000
"Overview: Isaiah Ch. 40-66",BibleProject,https://www.youtube.com/watch?v=_TzdEPuqgQg,"Isaiah 40-66",OT,"Animated overview of Isaiah 40-66 featuring the suffering servant and new creation",4000000
"Overview: Jeremiah",BibleProject,https://www.youtube.com/watch?v=RSK36cHbrk0,"Jeremiah",OT,"Animated overview of Jeremiah the weeping prophet and his warnings to Judah",3000000
"Overview: Daniel",BibleProject,https://www.youtube.com/watch?v=9cSC9uobtPM,"Daniel",OT,"Animated overview of Daniel covering faithfulness in exile and apocalyptic visions",6000000
"Overview: Jonah",BibleProject,https://www.youtube.com/watch?v=dLIabZc0O4c,"Jonah",OT,"Animated overview of Jonah and Gods compassion for all nations",7000000
"Overview: Malachi",BibleProject,https://www.youtube.com/watch?v=HPGShWZ4Jvk,"Malachi",OT,"Animated overview of Malachi the final prophetic book of the Old Testament",3000000
"Overview: Matthew Ch. 1-13",BibleProject,https://www.youtube.com/watch?v=iriW0zX492c,"Matthew 1-13",NT,"Animated overview of Matthew 1-13 presenting Jesus as the long-awaited Messiah",7000000
"Overview: Matthew Ch. 14-28",BibleProject,https://www.youtube.com/watch?v=VSVPCPK-Zf8,"Matthew 14-28",NT,"Animated overview of Matthew 14-28 covering Jesus ministry death and resurrection",5000000
"Overview: Mark",BibleProject,https://www.youtube.com/watch?v=HGHqu9-DtXk,"Mark",NT,"Animated overview of Marks fast-paced Gospel showing Jesus as the suffering servant king",5000000
"Overview: Luke Ch. 1-9",BibleProject,https://www.youtube.com/watch?v=XIb_dCIxzr0,"Luke 1-9",NT,"Animated overview of Luke 1-9 highlighting Jesus compassion for the marginalized",4000000
"Overview: Luke Ch. 10-24",BibleProject,https://www.youtube.com/watch?v=26z_KhwNdD8,"Luke 10-24",NT,"Animated overview of Luke 10-24 covering parables and the journey to Jerusalem",3000000
"Overview: John Ch. 1-12",BibleProject,https://www.youtube.com/watch?v=G-2e9mMf7E8,"John 1-12",NT,"Animated overview of John 1-12 presenting Jesus as the divine Word made flesh",7000000
"Overview: John Ch. 13-21",BibleProject,https://www.youtube.com/watch?v=RUfh_wOsauk,"John 13-21",NT,"Animated overview of John 13-21 covering the farewell discourse and resurrection",4000000
"Overview: Acts Ch. 1-12",BibleProject,https://www.youtube.com/watch?v=CGbNw855ksw,"Acts 1-12",NT,"Animated overview of Acts 1-12 showing the early church spreading from Jerusalem",5000000
"Overview: Acts Ch. 13-28",BibleProject,https://www.youtube.com/watch?v=Z-17KxpjL0Q,"Acts 13-28",NT,"Animated overview of Acts 13-28 following Pauls missionary journeys",4000000
"Overview: Romans Ch. 1-4",BibleProject,https://www.youtube.com/watch?v=6KrQ1ZwUlPU,"Romans 1-4",NT,"Animated overview of Romans 1-4 exploring the gospel of righteousness by faith",5000000
"Overview: Romans Ch. 5-16",BibleProject,https://www.youtube.com/watch?v=ZuEsGgIFdso,"Romans 5-16",NT,"Animated overview of Romans 5-16 on life in the Spirit and Gods faithfulness to Israel",4000000
"Overview: 1 Corinthians",BibleProject,https://www.youtube.com/watch?v=veU6dB3996o,"1 Corinthians",NT,"Animated overview of 1 Corinthians addressing unity and resurrection in the early church",4000000
"Overview: Galatians",BibleProject,https://www.youtube.com/watch?v=vmx4UjRFp0M,"Galatians",NT,"Animated overview of Galatians on freedom in Christ versus legalism",3000000
"Overview: Ephesians",BibleProject,https://www.youtube.com/watch?v=Y71r-T98E2Q,"Ephesians",NT,"Animated overview of Ephesians exploring the cosmic scope of Gods plan in Christ",4000000
"Overview: Hebrews",BibleProject,https://www.youtube.com/watch?v=z9wqN-nwSzE,"Hebrews",NT,"Animated overview of Hebrews presenting Jesus as the ultimate priest and sacrifice",5000000
"Overview: James",BibleProject,https://www.youtube.com/watch?v=qn-hLHWwRYY,"James",NT,"Animated overview of James on living out genuine faith through practical wisdom",4000000
"Overview: Revelation Ch. 1-11",BibleProject,https://www.youtube.com/watch?v=5nvVVcYD-0w,"Revelation 1-11",NT,"Animated overview of Revelation 1-11 covering the seven churches and seal judgments",8000000
"Overview: Revelation Ch. 12-22",BibleProject,https://www.youtube.com/watch?v=QpnIrbq2bKo,"Revelation 12-22",NT,"Animated overview of Revelation 12-22 on Babylons fall and the new creation",6000000
"Evidences of the Book of Mormon: Nahom",Book of Mormon Central,https://www.youtube.com/watch?v=EOPFob0cjfw,"1 Nephi 16:34",BoM,"Stephen Smoot examines the archaeological discovery of Nahom in Arabia and its significance for Book of Mormon historicity",200000
"A Marvelous Work Episode 1: The Greatness of the Evidence",Scripture Central,https://www.youtube.com/watch?v=6030mVPhoaw,"1 Nephi - Moroni",BoM,"Documentary exploring archaeological and historical evidences for the Book of Mormon",150000
"Book of Mormon Title Page Overview",Scripture Central,https://www.youtube.com/watch?v=T_GErTonAFg,"Title Page",BoM,"Animated illustration of the Book of Mormons coming forth narrated from the Title Page text",50000
"Come Follow Me Insights: Book of Mormon Introduction",Scripture Central,https://www.youtube.com/watch?v=jCEmdvzGMdA,"Introduction",BoM,"BYU instructors Taylor Halverson and Tyler Griffin review the Book of Mormon Title Page and Introduction",100000
"Come Follow Me Insights: Witnesses of the Book of Mormon",Scripture Central,https://www.youtube.com/watch?v=YfBFhEkkXCo,"Testimonies of Witnesses",BoM,"Coverage of the testimonies of the Three and Eight Witnesses of the Book of Mormon",80000
"Evidence for the Book of Mormon Plates",Scripture Central,https://www.youtube.com/watch?v=Mm-AXJNXiB8,"1 Nephi - Mormon",BoM,"Examines historical and physical evidence related to the golden plates of the Book of Mormon",120000
"The Miraculous Translation of the Book of Mormon",Scripture Central,https://www.youtube.com/watch?v=4LdR7BoI6F0,"Title Page",BoM,"Explores the process and evidence surrounding Joseph Smiths translation of the Book of Mormon",100000
"The Testimony of the Prophet Joseph Smith",Scripture Central,https://www.youtube.com/watch?v=ofIvfB7DYKQ,"Joseph Smith-History",PoGP,"Visual presentation of Joseph Smiths account of receiving and translating the Book of Mormon plates",60000
"Come Follow Me Insights: Book of Mormon Introduction (Pt 2)",Scripture Central,https://www.youtube.com/watch?v=VfWx071CCXA,"Introduction",BoM,"Brings the Book of Mormons Introduction to life with relevant imagery and animation",40000
